   
                   covalent structures   
                   -------------------   
   
   You have    105 covalent structures among
  them     14 covalent structures are permissible
  
       [] and {} in front of the structures specifies the quality of the structures.
 1st number in [] specifies intra-atomic bond quality and 2nd number specifies 
 symmetry breaking bond quality. Where {} specifies the overall quality of the structures
 *************************************************************** 
          14  structures are permisible among below          105
str     1) [  0,  0 ]{  3 } R         2    3    4    5    6    7    8    9
str     2) [  0,  0 ]{  3 } -         2    3    4    5    6    8    7    9
str     3) [  0,  0 ]{  3 } R         2    3    4    5    6    9    7    8
str     4) [  0,  0 ]{  2 } -         2    3    4    6    5    7    8    9
str     5) [  0,  0 ]{  2 } -         2    3    4    6    5    8    7    9
str     6) [  0,  0 ]{  2 } -         2    3    4    6    5    9    7    8
str     7) [  0,  0 ]{  2 } R         2    3    4    7    5    6    8    9
str     8) [  0,  0 ]{  2 } -         2    3    4    7    5    8    6    9
str     9) [  0,  0 ]{  2 } -         2    3    4    7    5    9    6    8
str    10) [  0,  0 ]{  2 } -         2    3    4    8    5    6    7    9
str    11) [  0,  0 ]{  2 } -         2    3    4    8    5    7    6    9
str    12) [  0,  0 ]{  2 } -         2    3    4    8    5    9    6    7
str    13) [  0,  0 ]{  2 } R         2    3    4    9    5    6    7    8
str    14) [  0,  0 ]{  2 } -         2    3    4    9    5    7    6    8
str    15) [  0,  0 ]{  2 } R         2    3    4    9    5    8    6    7
str    16) [  0,  0 ]{  3 } -         2    4    3    5    6    7    8    9
str    17) [  0,  0 ]{  3 } -         2    4    3    5    6    8    7    9
str    18) [  0,  0 ]{  3 } -         2    4    3    5    6    9    7    8
str    19) [  0,  0 ]{  2 } -         2    4    3    6    5    7    8    9
str    20) [  0,  0 ]{  2 } -         2    4    3    6    5    8    7    9
str    21) [  0,  0 ]{  2 } -         2    4    3    6    5    9    7    8
str    22) [  0,  0 ]{  2 } -         2    4    3    7    5    6    8    9
str    23) [  0,  0 ]{  2 } -         2    4    3    7    5    8    6    9
str    24) [  0,  0 ]{  2 } -         2    4    3    7    5    9    6    8
str    25) [  0,  0 ]{  2 } -         2    4    3    8    5    6    7    9
str    26) [  0,  0 ]{  2 } -         2    4    3    8    5    7    6    9
str    27) [  0,  0 ]{  2 } -         2    4    3    8    5    9    6    7
str    28) [  0,  0 ]{  2 } -         2    4    3    9    5    6    7    8
str    29) [  0,  0 ]{  2 } -         2    4    3    9    5    7    6    8
str    30) [  0,  0 ]{  2 } -         2    4    3    9    5    8    6    7
str    31) [  0,  0 ]{  3 } R         2    5    3    4    6    7    8    9
str    32) [  0,  0 ]{  3 } -         2    5    3    4    6    8    7    9
str    33) [  0,  0 ]{  3 } R         2    5    3    4    6    9    7    8
str    34) [  0,  0 ]{  2 } -         2    5    3    6    4    7    8    9
str    35) [  0,  0 ]{  2 } -         2    5    3    6    4    8    7    9
str    36) [  0,  0 ]{  2 } -         2    5    3    6    4    9    7    8
str    37) [  0,  0 ]{  2 } -         2    5    3    7    4    6    8    9
str    38) [  0,  0 ]{  2 } -         2    5    3    7    4    8    6    9
str    39) [  0,  0 ]{  2 } -         2    5    3    7    4    9    6    8
str    40) [  0,  0 ]{  2 } -         2    5    3    8    4    6    7    9
str    41) [  0,  0 ]{  2 } -         2    5    3    8    4    7    6    9
str    42) [  0,  0 ]{  2 } -         2    5    3    8    4    9    6    7
str    43) [  0,  0 ]{  2 } -         2    5    3    9    4    6    7    8
str    44) [  0,  0 ]{  2 } -         2    5    3    9    4    7    6    8
str    45) [  0,  0 ]{  2 } -         2    5    3    9    4    8    6    7
str    46) [  0,  0 ]{  2 } -         2    6    3    4    5    7    8    9
